"ind.row"	"ind.col"	"rnm"	"cnm"
"129"	354	16	"OP-BZN1 OPB31-Stat"	"BAZAN HCU HCU Stat"
"130"	355	16	"OP-BZN1 STAT1"	"BAZAN HCU HCU Stat"
"131"	356	16	"OP-BZN1 STAT2"	"BAZAN HCU HCU Stat"
"132"	357	16	"OP-BZN1 STAT3"	"BAZAN HCU HCU Stat"
"133"	358	16	"OP-BZN1 STAT5"	"BAZAN HCU HCU Stat"
"134"	361	16	"OP-GADIV STAT1"	"BAZAN HCU HCU Stat"
"135"	367	16	"OP-HCU Stat-HCU"	"BAZAN HCU HCU Stat"
"136"	368	16	"OP-HCU Stat-HPU"	"BAZAN HCU HCU Stat"
"137"	394	16	"Yizraelia ITemp"	"BAZAN HCU HCU Stat"
"138"	402	16	"Yizraelia RH"	"BAZAN HCU HCU Stat"
"139"	403	16	"Yizraelia TEMP"	"BAZAN HCU HCU Stat"
"140"	404	16	"Yizraelia WDD"	"BAZAN HCU HCU Stat"
"141"	405	16	"Yizraelia WDS"	"BAZAN HCU HCU Stat"
"144"	18	17	"BAZAN HCU NOX INS"	"BAZAN HCU NOx Dry"
"145"	28	17	"bazan NOx emission rate HCU-Nox emission rate"	"BAZAN HCU NOx Dry"
"146"	29	17	"bazan NOx emission rate HDS-Nox emission rate"	"BAZAN HCU NOx Dry"
"147"	30	17	"bazan NOx emission rate HPU-Nox emission rate"	"BAZAN HCU NOx Dry"
"148"	31	17	"bazan NOx emission rate IHDA-GO-Nox emission rate"	"BAZAN HCU NOx Dry"
"149"	36	17	"BAZAN TO-4 stat_TOC"	"BAZAN HCU NOx Dry"
"150"	38	17	"BAZAN VRU activity and goals"	"BAZAN HCU NOx Dry"
"151"	41	17	"BAZAN_HDS NOX INS"	"BAZAN HCU NOx Dry"
"152"	42	17	"BAZAN_HPU HPU Stat"	"BAZAN HCU NOx Dry"
"153"	43	17	"BAZAN_HPU NOx Dry"	"BAZAN HCU NOx Dry"
"154"	44	17	"BAZAN_HPU NOX INS"	"BAZAN HCU NOx Dry"
"155"	45	17	"BAZAN_Oper B11"	"BAZAN HCU NOx Dry"
"156"	46	17	"BAZAN_Oper B21"	"BAZAN HCU NOx Dry"
"157"	47	17	"BAZAN_Oper Benzine HDS"	"BAZAN HCU NOx Dry"
"158"	48	17	"BAZAN_Oper Boiler31"	"BAZAN HCU NOx Dry"
"159"	49	17	"BAZAN_Oper CCR"	"BAZAN HCU NOx Dry"
"160"	50	17	"BAZAN_Oper CU.1"	"BAZAN HCU NOx Dry"
"161"	51	17	"BAZAN_Oper CU.3"	"BAZAN HCU NOx Dry"
"162"	52	17	"BAZAN_Oper CU.4"	"BAZAN HCU NOx Dry"
"163"	53	17	"BAZAN_Oper FCC"	"BAZAN HCU NOx Dry"
"164"	54	17	"BAZAN_Oper GO HDS"	"BAZAN HCU NOx Dry"
"165"	55	17	"BAZAN_Oper HVGO HSD"	"BAZAN HCU NOx Dry"
"166"	56	17	"BAZAN_Oper Isomer"	"BAZAN HCU NOx Dry"
"167"	57	17	"BAZAN_Oper KERO HDS"	"BAZAN HCU NOx Dry"
"168"	58	17	"BAZAN_Oper Vis3."	"BAZAN HCU NOx Dry"
"169"	59	17	"BAZAN-B11 ST_NOx_INS"	"BAZAN HCU NOx Dry"
"170"	62	17	"BAZAN-B21 SCR21_NOX_INS"	"BAZAN HCU NOx Dry"
"171"	63	17	"BAZAN-B31 ST_NOx_INS"	"BAZAN HCU NOx Dry"
"172"	66	17	"BAZAN-CCR NOX INS"	"BAZAN HCU NOx Dry"
"173"	68	17	"Bazan-CU1 NOX INS"	"BAZAN HCU NOx Dry"
