date	year	month	day	day_of_week	day_of_year	station	sensor	value	threshold
20150425	2015	4	25	6	115	Bazan-CU3	NOx Dry	111.9	100
20140326	2014	3	26	3	85	Bazan-CU3	NOx Dry	120.6	100
20140314	2014	3	14	5	73	Bazan-CU3	NOx Dry	131.1	100
20160929	2016	9	29	4	273	Bazan-CU3	NOx Dry	150.2	100
20140825	2014	8	25	1	237	Bazan-CU3	NOx Dry	117.9	100
20161021	2016	10	21	5	295	Bazan-CU3	NOx Dry	166.7	100
20161020	2016	10	20	4	294	Bazan-CU3	NOx Dry	138.4	100
20150114	2015	1	14	3	14	Bazan-CU3	NOx Dry	130.5	100
20160514	2016	5	14	6	135	Bazan-CU3	NOx Dry	119.6	100
20150123	2015	1	23	5	23	Bazan-CU3	NOx Dry	110.7	100
20141107	2014	11	7	5	311	Bazan-CU3	NOx Dry	144.3	100
20131204	2013	12	4	3	338	Bazan-CU3	NOx Dry	113.2	100
20160610	2016	6	10	5	162	Bazan-CU3	NOx Dry	140.6	100
20140612	2014	6	12	4	163	Bazan-CU3	NOx Dry	114.9	100
20161231	2016	12	31	6	366	Bazan-CU3	NOx Dry	168.2	100
20160217	2016	2	17	3	48	Bazan-CU3	NOx Dry	108.0	100
20141205	2014	12	5	5	339	Bazan-CU3	NOx Dry	153.5	100
20140710	2014	7	10	4	191	Bazan-CU3	NOx Dry	109.8	100
20161101	2016	11	1	2	306	Bazan-CU3	NOx Dry	137.3	100
20131210	2013	12	10	2	344	Bazan-CU3	NOx Dry	129.9	100
20151114	2015	11	14	6	318	Bazan-CU3	NOx Dry	128.1	100
20150704	2015	7	4	6	185	Bazan-CU3	NOx Dry	101.1	100
20170519	2017	5	19	5	139	Bazan-CU3	NOx Dry	101.5	100
20150303	2015	3	3	2	62	Bazan-CU3	NOx Dry	113.7	100
20140420	2014	4	20	7	110	Bazan-CU3	NOx Dry	102.0	100
20140415	2014	4	15	2	105	Bazan-CU3	NOx Dry	100.4	100
20150930	2015	9	30	3	273	Bazan-CU3	NOx Dry	110.7	100
20160410	2016	4	10	7	101	Bazan-CU3	NOx Dry	101.2	100
20140829	2014	8	29	5	241	Bazan-CU3	NOx Dry	121.3	100
20151113	2015	11	13	5	317	Bazan-CU3	NOx Dry	123.1	100
20150622	2015	6	22	1	173	Bazan-CU3	NOx Dry	101.5	100
20150928	2015	9	28	1	271	Bazan-CU3	NOx Dry	106.2	100
20141219	2014	12	19	5	353	Bazan-CU3	NOx Dry	123.2	100
20140626	2014	6	26	4	177	Bazan-CU3	NOx Dry	105.2	100
20161210	2016	12	10	6	345	Bazan-CU3	NOx Dry	170.3	100
20140616	2014	6	16	1	167	Bazan-CU3	NOx Dry	115.1	100
20160116	2016	1	16	6	16	Bazan-CU3	NOx Dry	116.4	100
20140219	2014	2	19	3	50	Bazan-CU3	NOx Dry	116.9	100
20151111	2015	11	11	3	315	Bazan-CU3	NOx Dry	123.8	100
20140308	2014	3	8	6	67	Bazan-CU3	NOx Dry	107.2	100
20140524	2014	5	24	6	144	Bazan-CU3	NOx Dry	114.2	100
20140602	2014	6	2	1	153	Bazan-CU3	NOx Dry	107.7	100
20160518	2016	5	18	3	139	Bazan-CU3	NOx Dry	125.2	100
20150105	2015	1	5	1	5	Bazan-CU3	NOx Dry	122.1	100
20151227	2015	12	27	7	361	Bazan-CU3	NOx Dry	120.4	100
20141222	2014	12	22	1	356	Bazan-CU3	NOx Dry	119.6	100
20160326	2016	3	26	6	86	Bazan-CU3	NOx Dry	126.6	100
20150929	2015	9	29	2	272	Bazan-CU3	NOx Dry	103.9	100
20151228	2015	12	28	1	362	Bazan-CU3	NOx Dry	129.4	100
20131103	2013	11	3	7	307	Bazan-CU3	NOx Dry	121.4	100
20150712	2015	7	12	7	193	Bazan-CU3	NOx Dry	109.0	100
20150103	2015	1	3	6	3	Bazan-CU3	NOx Dry	117.8	100
20140321	2014	3	21	5	80	Bazan-CU3	NOx Dry	130.5	100
20160509	2016	5	9	1	130	Bazan-CU3	NOx Dry	115.7	100
20150418	2015	4	18	6	108	Bazan-CU3	NOx Dry	111.6	100
20160202	2016	2	2	2	33	Bazan-CU3	NOx Dry	119.5	100
20140323	2014	3	23	7	82	Bazan-CU3	NOx Dry	120.5	100
20160119	2016	1	19	2	19	Bazan-CU3	NOx Dry	121.6	100
20141101	2014	11	1	6	305	Bazan-CU3	NOx Dry	101.8	100
20161027	2016	10	27	4	301	Bazan-CU3	NOx Dry	144.0	100
20170101	2017	1	1	7	1	Bazan-CU3	NOx Dry	153.7	100
20160817	2016	8	17	3	230	Bazan-CU3	NOx Dry	153.0	100
20141117	2014	11	17	1	321	Bazan-CU3	NOx Dry	110.1	100
20170529	2017	5	29	1	149	Bazan-CU3	NOx Dry	104.5	100
20140102	2014	1	2	4	2	Bazan-CU3	NOx Dry	139.3	100
20140716	2014	7	16	3	197	Bazan-CU3	NOx Dry	108.3	100
20160614	2016	6	14	2	166	Bazan-CU3	NOx Dry	109.1	100
20140906	2014	9	6	6	249	Bazan-CU3	NOx Dry	120.7	100
20140307	2014	3	7	5	66	Bazan-CU3	NOx Dry	107.5	100
20140926	2014	9	26	5	269	Bazan-CU3	NOx Dry	123.3	100
20170314	2017	3	14	2	73	Bazan-CU3	NOx Dry	116.2	100
20160317	2016	3	17	4	77	Bazan-CU3	NOx Dry	121.6	100
20140705	2014	7	5	6	186	Bazan-CU3	NOx Dry	116.3	100
20151231	2015	12	31	4	365	Bazan-CU3	NOx Dry	120.9	100
20170111	2017	1	11	3	11	Bazan-CU3	NOx Dry	131.0	100
20160809	2016	8	9	2	222	Bazan-CU3	NOx Dry	137.1	100
20140119	2014	1	19	7	19	Bazan-CU3	NOx Dry	123.5	100
20160611	2016	6	11	6	163	Bazan-CU3	NOx Dry	140.2	100
20141013	2014	10	13	1	286	Bazan-CU3	NOx Dry	119.9	100
20150718	2015	7	18	6	199	Bazan-CU3	NOx Dry	102.6	100
20150504	2015	5	4	1	124	Bazan-CU3	NOx Dry	115.9	100
20160216	2016	2	16	2	47	Bazan-CU3	NOx Dry	121.2	100
20161012	2016	10	12	3	286	Bazan-CU3	NOx Dry	129.0	100
20150717	2015	7	17	5	198	Bazan-CU3	NOx Dry	104.8	100
20140714	2014	7	14	1	195	Bazan-CU3	NOx Dry	109.3	100
20160121	2016	1	21	4	21	Bazan-CU3	NOx Dry	117.0	100
20160925	2016	9	25	7	269	Bazan-CU3	NOx Dry	143.8	100
20150109	2015	1	9	5	9	Bazan-CU3	NOx Dry	145.8	100
20160719	2016	7	19	2	201	Bazan-CU3	NOx Dry	116.2	100
20160126	2016	1	26	2	26	Bazan-CU3	NOx Dry	129.3	100
20131201	2013	12	1	7	335	Bazan-CU3	NOx Dry	143.5	100
20140821	2014	8	21	4	233	Bazan-CU3	NOx Dry	123.9	100
20141018	2014	10	18	6	291	Bazan-CU3	NOx Dry	112.9	100
20161222	2016	12	22	4	357	Bazan-CU3	NOx Dry	158.8	100
20150406	2015	4	6	1	96	Bazan-CU3	NOx Dry	111.7	100
20140313	2014	3	13	4	72	Bazan-CU3	NOx Dry	123.3	100
20160129	2016	1	29	5	29	Bazan-CU3	NOx Dry	126.3	100
20160902	2016	9	2	5	246	Bazan-CU3	NOx Dry	137.7	100
20131025	2013	10	25	5	298	Bazan-CU3	NOx Dry	144.3	100
20140808	2014	8	8	5	220	Bazan-CU3	NOx Dry	109.0	100
20140126	2014	1	26	7	26	Bazan-CU3	NOx Dry	137.5	100
20140824	2014	8	24	7	236	Bazan-CU3	NOx Dry	111.9	100
20140103	2014	1	3	5	3	Bazan-CU3	NOx Dry	140.7	100
20160810	2016	8	10	3	223	Bazan-CU3	NOx Dry	138.1	100
20150906	2015	9	6	7	249	Bazan-CU3	NOx Dry	101.3	100
20160624	2016	6	24	5	176	Bazan-CU3	NOx Dry	101.6	100
20140529	2014	5	29	4	149	Bazan-CU3	NOx Dry	107.7	100
20160131	2016	1	31	7	31	Bazan-CU3	NOx Dry	123.4	100
20170424	2017	4	24	1	114	Bazan-CU3	NOx Dry	101.0	100
20160207	2016	2	7	7	38	Bazan-CU3	NOx Dry	123.7	100
20160922	2016	9	22	4	266	Bazan-CU3	NOx Dry	133.5	100
20150731	2015	7	31	5	212	Bazan-CU3	NOx Dry	102.7	100
20140628	2014	6	28	6	179	Bazan-CU3	NOx Dry	106.8	100
20140305	2014	3	5	3	64	Bazan-CU3	NOx Dry	105.9	100
20141203	2014	12	3	3	337	Bazan-CU3	NOx Dry	124.3	100
20160225	2016	2	25	4	56	Bazan-CU3	NOx Dry	120.1	100
20140112	2014	1	12	7	12	Bazan-CU3	NOx Dry	124.2	100
20140703	2014	7	3	4	184	Bazan-CU3	NOx Dry	109.6	100
20140405	2014	4	5	6	95	Bazan-CU3	NOx Dry	100.9	100
20150911	2015	9	11	5	254	Bazan-CU3	NOx Dry	103.6	100
20141229	2014	12	29	1	363	Bazan-CU3	NOx Dry	124.1	100
20161118	2016	11	18	5	323	Bazan-CU3	NOx Dry	136.8	100
20160112	2016	1	12	2	12	Bazan-CU3	NOx Dry	109.3	100
20140125	2014	1	25	6	25	Bazan-CU3	NOx Dry	125.8	100
20140902	2014	9	2	2	245	Bazan-CU3	NOx Dry	124.2	100
20150918	2015	9	18	5	261	Bazan-CU3	NOx Dry	122.7	100
20141215	2014	12	15	1	349	Bazan-CU3	NOx Dry	121.7	100
20141230	2014	12	30	2	364	Bazan-CU3	NOx Dry	122.6	100
20150402	2015	4	2	4	92	Bazan-CU3	NOx Dry	110.7	100
20160422	2016	4	22	5	113	Bazan-CU3	NOx Dry	132.5	100
20140929	2014	9	29	1	272	Bazan-CU3	NOx Dry	102.3	100
20160802	2016	8	2	2	215	Bazan-CU3	NOx Dry	119.2	100
20140709	2014	7	9	3	190	Bazan-CU3	NOx Dry	109.5	100
20160823	2016	8	23	2	236	Bazan-CU3	NOx Dry	141.0	100
20170427	2017	4	27	4	117	Bazan-CU3	NOx Dry	104.3	100
20151210	2015	12	10	4	344	Bazan-CU3	NOx Dry	137.8	100
20151115	2015	11	15	7	319	Bazan-CU3	NOx Dry	125.0	100
20161007	2016	10	7	5	281	Bazan-CU3	NOx Dry	144.3	100
20161018	2016	10	18	2	292	Bazan-CU3	NOx Dry	138.9	100
20150904	2015	9	4	5	247	Bazan-CU3	NOx Dry	103.1	100
20170514	2017	5	14	7	134	Bazan-CU3	NOx Dry	109.7	100
20140212	2014	2	12	3	43	Bazan-CU3	NOx Dry	128.7	100
20141012	2014	10	12	7	285	Bazan-CU3	NOx Dry	117.9	100
20140918	2014	9	18	4	261	Bazan-CU3	NOx Dry	119.7	100
20141027	2014	10	27	1	300	Bazan-CU3	NOx Dry	108.3	100
20150226	2015	2	26	4	57	Bazan-CU3	NOx Dry	106.0	100
20150508	2015	5	8	5	128	Bazan-CU3	NOx Dry	112.3	100
20161009	2016	10	9	7	283	Bazan-CU3	NOx Dry	129.5	100
20140522	2014	5	22	4	142	Bazan-CU3	NOx Dry	121.0	100
20140114	2014	1	14	2	14	Bazan-CU3	NOx Dry	135.1	100
20140922	2014	9	22	1	265	Bazan-CU3	NOx Dry	129.1	100
20140421	2014	4	21	1	111	Bazan-CU3	NOx Dry	105.5	100
20170116	2017	1	16	1	16	Bazan-CU3	NOx Dry	109.1	100
20140406	2014	4	6	7	96	Bazan-CU3	NOx Dry	105.2	100
20140619	2014	6	19	4	170	Bazan-CU3	NOx Dry	112.0	100
20151007	2015	10	7	3	280	Bazan-CU3	NOx Dry	119.4	100
20160724	2016	7	24	7	206	Bazan-CU3	NOx Dry	113.6	100
20170102	2017	1	2	1	2	Bazan-CU3	NOx Dry	137.9	100
20160617	2016	6	17	5	169	Bazan-CU3	NOx Dry	113.3	100
20140511	2014	5	11	7	131	Bazan-CU3	NOx Dry	100.9	100
20141216	2014	12	16	2	350	Bazan-CU3	NOx Dry	126.7	100
20150626	2015	6	26	5	177	Bazan-CU3	NOx Dry	101.9	100
20140611	2014	6	11	3	162	Bazan-CU3	NOx Dry	112.9	100
20131219	2013	12	19	4	353	Bazan-CU3	NOx Dry	139.1	100
20160224	2016	2	24	3	55	Bazan-CU3	NOx Dry	118.3	100
20161010	2016	10	10	1	284	Bazan-CU3	NOx Dry	129.5	100
20140124	2014	1	24	5	24	Bazan-CU3	NOx Dry	121.2	100
20170511	2017	5	11	4	131	Bazan-CU3	NOx Dry	104.7	100
20161219	2016	12	19	1	354	Bazan-CU3	NOx Dry	201.6	100
20150323	2015	3	23	1	82	Bazan-CU3	NOx Dry	118.8	100
20151106	2015	11	6	5	310	Bazan-CU3	NOx Dry	116.3	100
20161113	2016	11	13	7	318	Bazan-CU3	NOx Dry	132.6	100
20140120	2014	1	20	1	20	Bazan-CU3	NOx Dry	128.3	100
20150716	2015	7	16	4	197	Bazan-CU3	NOx Dry	111.7	100
20160417	2016	4	17	7	108	Bazan-CU3	NOx Dry	120.3	100
20140216	2014	2	16	7	47	Bazan-CU3	NOx Dry	111.9	100
20160409	2016	4	9	6	100	Bazan-CU3	NOx Dry	120.4	100
20140711	2014	7	11	5	192	Bazan-CU3	NOx Dry	104.2	100
20151006	2015	10	6	2	279	Bazan-CU3	NOx Dry	120.4	100
20140915	2014	9	15	1	258	Bazan-CU3	NOx Dry	111.8	100
20141212	2014	12	12	5	346	Bazan-CU3	NOx Dry	122.7	100
20140115	2014	1	15	3	15	Bazan-CU3	NOx Dry	133.5	100
20160621	2016	6	21	2	173	Bazan-CU3	NOx Dry	115.8	100
20150127	2015	1	27	2	27	Bazan-CU3	NOx Dry	107.2	100
20160425	2016	4	25	1	116	Bazan-CU3	NOx Dry	119.7	100
20150213	2015	2	13	5	44	Bazan-CU3	NOx Dry	132.4	100
20150322	2015	3	22	7	81	Bazan-CU3	NOx Dry	121.2	100
20160612	2016	6	12	7	164	Bazan-CU3	NOx Dry	120.6	100
20160917	2016	9	17	6	261	Bazan-CU3	NOx Dry	140.3	100
20140113	2014	1	13	1	13	Bazan-CU3	NOx Dry	122.6	100
20140924	2014	9	24	3	267	Bazan-CU3	NOx Dry	121.9	100
20161123	2016	11	23	3	328	Bazan-CU3	NOx Dry	136.9	100
20150324	2015	3	24	2	83	Bazan-CU3	NOx Dry	117.5	100
20141026	2014	10	26	7	299	Bazan-CU3	NOx Dry	110.8	100
20160114	2016	1	14	4	14	Bazan-CU3	NOx Dry	113.7	100
20140704	2014	7	4	5	185	Bazan-CU3	NOx Dry	112.0	100
20161128	2016	11	28	1	333	Bazan-CU3	NOx Dry	136.6	100
20140105	2014	1	5	7	5	Bazan-CU3	NOx Dry	141.1	100
20160204	2016	2	4	4	35	Bazan-CU3	NOx Dry	130.2	100
20170515	2017	5	15	1	135	Bazan-CU3	NOx Dry	105.1	100
20140328	2014	3	28	5	87	Bazan-CU3	NOx Dry	120.1	100
