Delek TOC 36601 Sun Sep  4 01:00:00 2016
Kiryat Yam WDD 422686 Thu Oct 20 23:00:00 2016
Kiryat Yam WDD 106829 Mon Oct 24 15:00:00 2016
Kiryat Yam WDD 365827 Fri Oct 21 15:00:00 2016
Kiryat Yam WDD 103229 Mon Oct 24 16:00:00 2016
Kiryat Yam WDD 362227 Fri Oct 21 16:00:00 2016
Kiryat Yam WDD 135629 Mon Oct 24 07:00:00 2016
Kiryat Yam WDD 114029 Mon Oct 24 13:00:00 2016
Kiryat Yam WDD 167977 Sun Oct 23 22:00:00 2016
Kiryat Yam WDD 272278 Sat Oct 22 17:00:00 2016
Kiryat Yam WDD 419086 Fri Oct 21 00:00:00 2016
Kiryat Yam WDD 351427 Fri Oct 21 19:00:00 2016
Kiryat Yam WDD 185977 Sun Oct 23 17:00:00 2016
Kiryat Yam WDD 458686 Thu Oct 20 13:00:00 2016
Kiryat Yam WDD 340627 Fri Oct 21 22:00:00 2016
Kiryat Yam WDD 398227 Fri Oct 21 06:00:00 2016
Kiryat Yam WDD 391027 Fri Oct 21 08:00:00 2016
Kiryat Yam WDD 326278 Sat Oct 22 02:00:00 2016
Kiryat Yam WDD 110429 Mon Oct 24 14:00:00 2016
Kiryat Yam WDD 96029 Mon Oct 24 18:00:00 2016
Kiryat Yam WDD 99629 Mon Oct 24 17:00:00 2016
Kiryat Yam WDD 268678 Sat Oct 22 18:00:00 2016
Kiryat Yam WDD 344227 Fri Oct 21 21:00:00 2016
Kiryat Yam WDD 132029 Mon Oct 24 08:00:00 2016
Kiryat Yam WDD 462286 Thu Oct 20 12:00:00 2016
Kiryat Yam WDD 146429 Mon Oct 24 04:00:00 2016
Kiryat Yam WDD 164377 Sun Oct 23 23:00:00 2016
Kiryat Yam WDD 200377 Sun Oct 23 13:00:00 2016
Kiryat Yam WDD 297478 Sat Oct 22 10:00:00 2016
Kiryat Yam WDD 433486 Thu Oct 20 20:00:00 2016
Kiryat Yam WDD 412627 Fri Oct 21 02:00:00 2016
Kiryat Yam WDD 447886 Thu Oct 20 16:00:00 2016
Kiryat Yam WDD 337027 Fri Oct 21 23:00:00 2016
Kiryat Yam WDD 373027 Fri Oct 21 13:00:00 2016
Kiryat Yam WDD 221977 Sun Oct 23 07:00:00 2016
Kiryat Yam WDD 409027 Fri Oct 21 03:00:00 2016
Kiryat Yam WDD 380227 Fri Oct 21 11:00:00 2016
Kiryat Yam WDD 383827 Fri Oct 21 10:00:00 2016
Kiryat Yam WDD 455086 Thu Oct 20 14:00:00 2016
Kiryat Yam WDD 358627 Fri Oct 21 17:00:00 2016
Kiryat Yam WDD 401827 Fri Oct 21 05:00:00 2016
Kiryat Yam WDD 207577 Sun Oct 23 11:00:00 2016
Kiryat Yam WDD 78029 Mon Oct 24 23:00:00 2016
Kiryat Yam WDD 153629 Mon Oct 24 02:00:00 2016
Kiryat Yam WDD 376627 Fri Oct 21 12:00:00 2016
Kiryat Yam WDD 322678 Sat Oct 22 03:00:00 2016
Kiryat Yam WDD 301078 Sat Oct 22 09:00:00 2016
